;id;titulo;descricao;data_divulgacao;tipo_id;tipo;produto_id;nome_produto;alias_produto;descricao_produto;ano_referencia_inicio;mes_referencia_inicio;ano_referencia_fim;mes_referencia_fim;link
66;760;Índice Nacional de Preços ao Consumidor Amplo;;10/07/2019 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;6;0;0;
67;758;Índice Nacional de Preços ao Consumidor Amplo;;07/06/2019 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;5;0;0;
68;756;Índice Nacional de Preços ao Consumidor Amplo;;10/05/2019 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;4;0;0;
69;754;Índice Nacional de Preços ao Consumidor Amplo;;10/04/2019 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;3;0;0;
70;752;Índice Nacional de Preços ao Consumidor Amplo;;12/03/2019 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;2;0;0;
71;750;Índice Nacional de Preços ao Consumidor Amplo;;08/02/2019 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2019;1;0;0;
72;442;Índice Nacional de Preços ao Consumidor Amplo;;11/01/2019 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;12;2018;12;
73;429;Índice Nacional de Preços ao Consumidor Amplo;;07/12/2018 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;11;2018;11;
74;415;Índice Nacional de Preços ao Consumidor Amplo;;07/11/2018 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;10;2018;10;
75;405;Índice Nacional de Preços ao Consumidor Amplo;;05/10/2018 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;9;2018;9;
76;393;Índice Nacional de Preços ao Consumidor Amplo;;06/09/2018 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;8;2018;8;
77;380;Índice Nacional de Preços ao Consumidor Amplo;;08/08/2018 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;7;2018;7;
78;370;Índice Nacional de Preços ao Consumidor Amplo;;06/07/2018 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;6;2018;6;
79;357;Índice Nacional de Preços ao Consumidor Amplo;;08/06/2018 00:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;5;2018;5;
80;346;Índice Nacional de Preços ao Consumidor Amplo;;10/05/2018 00:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;4;2018;4;
81;334;Índice Nacional de Preços ao Consumidor Amplo;;10/04/2018 00:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;3;2018;3;
82;323;Índice Nacional de Preços ao Consumidor Amplo;;09/03/2018 00:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;2;2018;2;
83;310;Índice Nacional de Preços ao Consumidor Amplo;;08/02/2018 00:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2018;1;2018;1;
84;301;Índice Nacional de Preços ao Consumidor Amplo;;10/01/2018 00:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;12;2017;12;
85;151;Índice Nacional de Preços ao Consumidor Amplo;;08/12/2017 02:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;11;0;0;
86;140;Índice Nacional de Preços ao Consumidor Amplo;;10/11/2017 02:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;10;0;0;
87;126;Índice Nacional de Preços ao Consumidor Amplo;;06/10/2017 03:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;9;0;0;
88;115;Índice Nacional de Preços ao Consumidor Amplo;;06/09/2017 03:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;8;0;0;
89;103;Índice Nacional de Preços ao Consumidor Amplo;;09/08/2017 03:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;7;0;0;
90;92;Índice Nacional de Preços ao Consumidor Amplo;;07/07/2017 03:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;6;0;0;
91;81;Índice Nacional de Preços ao Consumidor Amplo;;09/06/2017 03:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;5;0;0;
92;67;Índice Nacional de Preços ao Consumidor Amplo;;10/05/2017 03:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;4;0;0;
93;212;Índice Nacional de Preços ao Consumidor Amplo;;07/04/2017 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;3;0;0;
94;227;Índice Nacional de Preços ao Consumidor Amplo;;10/03/2017 12:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;2;0;0;
95;240;Índice Nacional de Preços ao Consumidor Amplo;;08/02/2017 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2017;1;0;0;
96;249;Índice Nacional de Preços ao Consumidor Amplo;;11/01/2017 11:00:00;1;Divulgação de Indicadores;9256;Índice Nacional de Preços ao Consumidor Amplo;indice-nacional-de-precos-ao-consumidor-amplo;<p>Texto na categoria</p>;2016;12;0;0;
